"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2001",568121.286,
"AUS","GDP","TOT","MLN_USD","A","2002",599301.22,
"AUS","GDP","TOT","MLN_USD","A","2003",635902.798,
"AUS","GDP","TOT","MLN_USD","A","2004",674858.481,
"AUS","GDP","TOT","MLN_USD","A","2005",717705.079,
"AUS","GDP","TOT","MLN_USD","A","2006",773963.638,
"AUS","GDP","TOT","MLN_USD","A","2007",824725.955,
"AUS","GDP","TOT","MLN_USD","A","2008",851983.13,
"AUS","GDP","TOT","MLN_USD","A","2009",902707.181,
"AUS","GDP","TOT","MLN_USD","A","2010",942682.526,
"AUS","GDP","TOT","MLN_USD","A","2011",992327.38,
"AUS","GDP","TOT","MLN_USD","A","2012",997527.347,
"AUS","GDP","TOT","MLN_USD","A","2013",1104626.135,
"AUS","GDP","TOT","MLN_USD","A","2014",1118494.158,
"AUS","GDP","TOT","MLN_USD","A","2015",1126611.516,
"AUS","GDP","TOT","MLN_USD","A","2016",1216419.396,
"AUS","GDP","TOT","MLN_USD","A","2017",1262007.089,
"AUS","GDP","TOT","MLN_USD","A","2018",1342135.747,
"AUS","GDP","TOT","MLN_USD","A","2019",1419808.241,"E"
"CAN","GDP","TOT","MLN_USD","A","2001",937280.441,
"CAN","GDP","TOT","MLN_USD","A","2002",971009.088,
"CAN","GDP","TOT","MLN_USD","A","2003",1023164.566,
"CAN","GDP","TOT","MLN_USD","A","2004",1083147.9,
"CAN","GDP","TOT","MLN_USD","A","2005",1171340.162,
"CAN","GDP","TOT","MLN_USD","A","2006",1241188.41,
"CAN","GDP","TOT","MLN_USD","A","2007",1300920.52,
"CAN","GDP","TOT","MLN_USD","A","2008",1342396.613,
"CAN","GDP","TOT","MLN_USD","A","2009",1307934.637,
"CAN","GDP","TOT","MLN_USD","A","2010",1364056.032,
"CAN","GDP","TOT","MLN_USD","A","2011",1430807.125,
"CAN","GDP","TOT","MLN_USD","A","2012",1468094.965,
"CAN","GDP","TOT","MLN_USD","A","2013",1554122.745,
"CAN","GDP","TOT","MLN_USD","A","2014",1621396.709,
"CAN","GDP","TOT","MLN_USD","A","2015",1594899.224,
"CAN","GDP","TOT","MLN_USD","A","2016",1678387.058,
"CAN","GDP","TOT","MLN_USD","A","2017",1777241.886,
"CAN","GDP","TOT","MLN_USD","A","2018",1855770.852,
"CAN","GDP","TOT","MLN_USD","A","2019",1929897.148,
"FRA","GDP","TOT","MLN_USD","A","2001",1687439.813,
"FRA","GDP","TOT","MLN_USD","A","2002",1762925.935,
"FRA","GDP","TOT","MLN_USD","A","2003",1751689.913,
"FRA","GDP","TOT","MLN_USD","A","2004",1820581.225,
"FRA","GDP","TOT","MLN_USD","A","2005",1926880.385,
"FRA","GDP","TOT","MLN_USD","A","2006",2063202.627,
"FRA","GDP","TOT","MLN_USD","A","2007",2182049.131,
"FRA","GDP","TOT","MLN_USD","A","2008",2259255.844,
"FRA","GDP","TOT","MLN_USD","A","2009",2246074.217,
"FRA","GDP","TOT","MLN_USD","A","2010",2336238.018,
"FRA","GDP","TOT","MLN_USD","A","2011",2446474.544,
"FRA","GDP","TOT","MLN_USD","A","2012",2474005.287,
"FRA","GDP","TOT","MLN_USD","A","2013",2608523.504,
